External ID,Inventory Valuation
__export__.product_category_1_ca1a5e3b,Perpetual (at invoicing)
product.product_category_expenses,Perpetual (at invoicing)
__import__.pci_1,Perpetual (at invoicing)
__import__.pci_3,Perpetual (at invoicing)
__import__.pci_6,Perpetual (at invoicing)
__import__.pci_7,Perpetual (at invoicing)
__import__.pci_8,Perpetual (at invoicing)
__import__.pci_10,Perpetual (at invoicing)
__import__.pci_11,Perpetual (at invoicing)
__import__.pci_12,Perpetual (at invoicing)
__import__.pci_14,Perpetual (at invoicing)
__import__.pci_17,Perpetual (at invoicing)
__import__.pci_19,Perpetual (at invoicing)
__import__.pci_20,Perpetual (at invoicing)
__import__.pci_24,Perpetual (at invoicing)
__import__.pci_25,Perpetual (at invoicing)
__import__.pci_26,Perpetual (at invoicing)
__import__.pci_27,Perpetual (at invoicing)
__import__.pci_28,Perpetual (at invoicing)
__import__.pci_29,Perpetual (at invoicing)
__import__.pci_30,Perpetual (at invoicing)
__import__.pci_32,Perpetual (at invoicing)
__import__.pci_33,Perpetual (at invoicing)
__import__.pci_34,Perpetual (at invoicing)
__import__.pci_35,Perpetual (at invoicing)
__import__.pci_37,Perpetual (at invoicing)
__import__.pci_39,Perpetual (at invoicing)
__import__.pci_40,Perpetual (at invoicing)
__import__.pci_49,Perpetual (at invoicing)
__import__.pci_53,Perpetual (at invoicing)
__import__.pci_55,Perpetual (at invoicing)
__import__.pci_57,Perpetual (at invoicing)
__import__.pci_58,Perpetual (at invoicing)
__import__.pci_59,Perpetual (at invoicing)
__import__.pci_60,Perpetual (at invoicing)
__import__.pci_61,Perpetual (at invoicing)
__import__.pci_62,Perpetual (at invoicing)
__import__.pci_64,Perpetual (at invoicing)
__import__.pci_65,Perpetual (at invoicing)
__import__.pci_66,Perpetual (at invoicing)
__import__.pci_67,Perpetual (at invoicing)
__import__.pci_68,Perpetual (at invoicing)
__import__.pci_71,Perpetual (at invoicing)
__import__.pci_72,Perpetual (at invoicing)
__import__.pci_73,Perpetual (at invoicing)
__import__.pci_75,Perpetual (at invoicing)
__import__.pci_77,Perpetual (at invoicing)
__import__.pci_78,Perpetual (at invoicing)
__import__.pci_79,Perpetual (at invoicing)
__import__.pci_80,Perpetual (at invoicing)
__import__.pci_81,Perpetual (at invoicing)
__import__.pci_82,Perpetual (at invoicing)
__import__.pci_83,Perpetual (at invoicing)
__import__.pci_85,Perpetual (at invoicing)
__import__.pci_88,Perpetual (at invoicing)
__export__.product_category_358_403d3381,Perpetual (at invoicing)
__export__.product_category_363_5d205423,Perpetual (at invoicing)
__export__.product_category_365_34a765d9,Perpetual (at invoicing)
__export__.product_category_366_50484782,Perpetual (at invoicing)
__import__.new_pc_1,Perpetual (at invoicing)
__import__.new_pc_2,Perpetual (at invoicing)
__import__.new_pc_3,Perpetual (at invoicing)
__import__.new_pc_4,Perpetual (at invoicing)
__import__.pp_pc_1,Perpetual (at invoicing)
__import__.pp_pc_2,Perpetual (at invoicing)
__import__.pp_pc_3,Perpetual (at invoicing)
__import__.pp_pc_4,Perpetual (at invoicing)
__import__.pp_pc_5,Perpetual (at invoicing)
__import__.pp_pc_6,Perpetual (at invoicing)
__import__.pp_pc_7,Perpetual (at invoicing)
__import__.pp_pc_8,Perpetual (at invoicing)
__import__.pp_pc_9,Perpetual (at invoicing)
__import__.pp_pc_10,Perpetual (at invoicing)
__import__.pp_pc_11,Perpetual (at invoicing)
__import__.pp_pc_12,Perpetual (at invoicing)
__import__.pp_pc_13,Perpetual (at invoicing)
__import__.pp_pc_15,Perpetual (at invoicing)
__import__.pp_pc_16,Perpetual (at invoicing)
