External ID,Inventory Valuation
__export__.product_category_3405_572ea9ac,Perpetual (at invoicing)
__export__.product_category_3410_cda444f5,Perpetual (at invoicing)
__export__.product_category_3418_63901857,Perpetual (at invoicing)
__export__.product_category_3420_af953f8c,Perpetual (at invoicing)
__export__.product_category_3421_b9f2d3d8,Perpetual (at invoicing)
__export__.product_category_3422_214ae66d,Perpetual (at invoicing)
__export__.product_category_3423_84ffab75,Perpetual (at invoicing)
__export__.product_category_3424_b9c29295,Perpetual (at invoicing)
__export__.product_category_3425_6e00d62b,Perpetual (at invoicing)
__export__.product_category_3426_aa200459,Perpetual (at invoicing)
__export__.product_category_3427_6a7f9da7,Perpetual (at invoicing)
__export__.product_category_3429_56bfe66b,Perpetual (at invoicing)
__export__.product_category_3430_a4e57b3d,Perpetual (at invoicing)
__export__.product_category_3431_1d95c000,Perpetual (at invoicing)
__export__.product_category_3432_fe241044,Perpetual (at invoicing)
__export__.product_category_3573_9fd73ff9,Perpetual (at invoicing)
__export__.product_category_3580_90496ca9,Perpetual (at invoicing)
__export__.product_category_3588_a707314e,Perpetual (at invoicing)
__export__.product_category_3589_7fa0f19a,Perpetual (at invoicing)
__export__.product_category_3590_8a613db8,Perpetual (at invoicing)
__export__.product_category_3591_e70a5155,Perpetual (at invoicing)
__export__.product_category_3592_fead2594,Perpetual (at invoicing)
__export__.product_category_3593_264057ec,Perpetual (at invoicing)
__export__.product_category_3594_68bfc509,Perpetual (at invoicing)
__export__.product_category_3595_4f5df176,Perpetual (at invoicing)
__export__.product_category_3596_176929b6,Perpetual (at invoicing)
__export__.product_category_3597_7e926548,Perpetual (at invoicing)
__export__.product_category_3598_30c0fe99,Perpetual (at invoicing)
__export__.product_category_3599_10008b78,Perpetual (at invoicing)
__export__.product_category_3600_816da8ed,Perpetual (at invoicing)
__export__.product_category_3601_7ed1665a,Perpetual (at invoicing)
__export__.product_category_3602_0585878c,Perpetual (at invoicing)
__export__.product_category_3603_0b740203,Perpetual (at invoicing)
__export__.product_category_3604_fdd27f12,Perpetual (at invoicing)
__export__.product_category_3614_cd7323c5,Perpetual (at invoicing)
__export__.product_category_3615_22b6ebc3,Perpetual (at invoicing)
__export__.product_category_3616_17a68cba,Perpetual (at invoicing)
__export__.product_category_3617_0abbe59d,Perpetual (at invoicing)
__export__.product_category_3618_efcb78a9,Perpetual (at invoicing)
__export__.product_category_3619_180f4647,Perpetual (at invoicing)
__export__.product_category_3620_2955c9c7,Perpetual (at invoicing)
__export__.product_category_3621_9a276b04,Perpetual (at invoicing)
__export__.product_category_3622_5b924345,Perpetual (at invoicing)
__export__.product_category_3623_7649ecd1,Perpetual (at invoicing)
__export__.product_category_3624_ee11affb,Perpetual (at invoicing)
__export__.product_category_3625_0d18290d,Perpetual (at invoicing)
__export__.product_category_3626_a218c152,Perpetual (at invoicing)
__export__.product_category_3627_92f27a69,Perpetual (at invoicing)
__export__.product_category_3628_2d308e32,Perpetual (at invoicing)
__export__.product_category_3629_b8167aa4,Perpetual (at invoicing)
__export__.product_category_3630_1620311e,Perpetual (at invoicing)
__export__.product_category_3632_b8feb439,Perpetual (at invoicing)
