External ID,Price Difference Account/Database ID
__export__.product_category_3291_13f3657c,77250
__export__.product_category_1906_2a260812,77250
__export__.product_category_3413_84b0a738,77250
__import__.pp_pc_73,77250
__import__.pp_pc_71,77250
__import__.pp_pc_72,77250
__export__.product_category_3411_dae24cc6,77250
__export__.product_category_3407_0d02edff,77250
__export__.product_category_3300_b52701e9,77250
__export__.product_category_1_ca1a5e3b,77250
delivery.product_category_deliveries,77250
product.product_category_expenses,77250
__import__.pci_1,77250
__export__.product_category_3396_3e900dcb,77250
__export__.product_category_3387_40ce6479,77250
__export__.product_category_3288_d2018909,77250
__export__.product_category_3289_b52ca8e4,77250
__export__.product_category_3287_f28fc382,77250
__import__.pci_12,77250
__import__.pp_pc_58,77250
__export__.product_category_2872_e3b4cc1e,77250
__import__.pci_16,77250
__export__.product_category_3290_c67410db,77250
__import__.pci_18,77250
__import__.new_pc_1,77250
__import__.pci_6,77250
__import__.pci_7,77250
__import__.pci_8,77250
__export__.product_category_3390_24194726,77250
__import__.pci_10,77250
__import__.pci_11,77250
__import__.pci_14,77250
__import__.pci_17,77250
__export__.product_category_3283_4f9ad5af,77250
__import__.pci_19,77250
__import__.pci_20,77250
__import__.pci_24,77250
__import__.pci_25,77250
__import__.pci_26,77250
__import__.pci_27,77250
__import__.pci_53,77250
__import__.pci_28,77250
__import__.pci_34,77250
__import__.pci_40,77250
__import__.pci_55,77250
__import__.pci_57,77250
__import__.pci_58,77250
__import__.pci_59,77250
__import__.pci_60,77250
__import__.pci_61,77250
__import__.pci_62,77250
__import__.pci_64,77250
__import__.pci_65,77250
__import__.pci_66,77250
__import__.pci_67,77250
__import__.pci_68,77250
__import__.pci_71,77250
__import__.pci_72,77250
__import__.pci_73,77250
__import__.pci_78,77250
__import__.pci_79,77250
__import__.pci_80,77250
__import__.pci_81,77250
__import__.pci_85,77250
__import__.pci_88,77250
__import__.pci_29,77250
__import__.pci_30,77250
__import__.pci_32,77250
__export__.product_category_3397_11679b0f,77250
__export__.product_category_3399_cb1fef6d,77250
__export__.product_category_3395_f57c809b,77250
__export__.product_category_3391_556adfc2,77250
__import__.pci_33,77250
__export__.product_category_3389_43d38a9f,77250
__export__.product_category_3398_07a85175,77250
__import__.pci_37,77250
__export__.product_category_3434_5212ee8b,77250
__import__.pci_38,77250
__import__.pp_pc_62,77250
__export__.product_category_3433_a65cdc81,77250
__export__.product_category_3393_0ab4ede0,77250
__export__.product_category_367_42babad3,77250
__export__.product_category_366_50484782,77250
__export__.product_category_3406_22d07546,77250
__import__.pci_49,77250
__import__.pci_52,77250
__export__.product_category_3388_bb325bf4,77250
__export__.product_category_1896_e773602c,77250
__import__.pp_pc_22,77250
__import__.pp_pc_9,77250
__import__.pp_pc_40,77250
__import__.pp_pc_39,77250
__import__.pp_pc_38,77250
__import__.pp_pc_37,77250
__import__.pp_pc_41,77250
__import__.pp_pc_36,77250
__import__.pp_pc_46,77250
__import__.pp_pc_35,77250
__import__.pp_pc_43,77250
__import__.pp_pc_44,77250
__import__.pp_pc_42,77250
__import__.pp_pc_45,77250
__export__.product_category_3583_d9648aa2,77250
__export__.product_category_3631_de6f9f2f,77250
__export__.product_category_3412_9895ff9d,77250
__export__.product_category_3613_dc3140a5,77250
__import__.pp_pc_47,77250
__export__.product_category_2871_2bb9e4b6,77250
__import__.pp_pc_50,77250
__import__.pp_pc_48,77250
__import__.pp_pc_49,77250
__import__.pp_pc_74,77250
__import__.pp_pc_99,77250
__import__.pp_pc_105,77250
__import__.pp_pc_89,77250
__import__.pp_pc_103,77250
__import__.pp_pc_90,77250
__import__.pp_pc_80,77250
__import__.pp_pc_94,77250
__import__.pp_pc_85,77250
__import__.pp_pc_93,77250
__import__.pp_pc_82,77250
__import__.pp_pc_88,77250
__import__.pp_pc_104,77250
__import__.pp_pc_100,77250
__import__.pp_pc_84,77250
__import__.pp_pc_79,77250
__import__.pp_pc_78,77250
__import__.pp_pc_96,77250
__import__.pp_pc_98,77250
__import__.pp_pc_97,77250
__import__.pp_pc_87,77250
__import__.pp_pc_81,77250
__import__.pp_pc_86,77250
__import__.pp_pc_95,77250
__import__.pp_pc_106,77250
__import__.pp_pc_92,77250
__import__.pp_pc_101,77250
__import__.pp_pc_91,77250
__import__.pp_pc_102,77250
__import__.pp_pc_83,77250
__import__.pp_pc_31,77250
__import__.pp_pc_19,77250
__import__.pp_pc_21,77250
__import__.pci_3,77250
__import__.pp_pc_28,77250
__import__.pp_pc_30,77250
__import__.pp_pc_6,77250
__import__.pp_pc_8,77250
__import__.pp_pc_20,77250
__import__.pp_pc_24,77250
__import__.pp_pc_7,77250
__import__.pp_pc_5,77250
__import__.pp_pc_15,77250
__export__.product_category_3401_c5e2c6a6,77250
__import__.pp_pc_1,77250
__import__.pp_pc_29,77250
__import__.pci_39,77250
__import__.pp_pc_13,77250
__import__.pp_pc_2,77250
__import__.pp_pc_3,77250
__import__.pp_pc_4,77250
__import__.pp_pc_23,77250
__import__.pp_pc_16,77250
__import__.pp_pc_11,77250
__import__.pp_pc_26,77250
__import__.pp_pc_10,77250
__import__.pp_pc_25,77250
__import__.pp_pc_27,77250
__import__.pp_pc_12,77250
__import__.pp_pc_17,77250
__export__.product_category_365_34a765d9,77250
__import__.pp_pc_55,77250
__export__.product_category_363_5d205423,77250
__import__.pci_51,77250
__import__.pci_82,77250
__import__.new_pc_2,77250
__import__.pci_86,77250
__import__.pci_87,77250
__import__.new_pc_3,77250
__import__.pci_2,77250
__import__.pci_4,77250
__import__.pci_9,77250
__import__.pci_13,77250
__import__.pci_22,77250
__export__.product_category_3294_987ca084,77250
__import__.pci_36,77250
__import__.pci_41,77250
__import__.pci_42,77250
__import__.pci_43,77250
__import__.pci_44,77250
__import__.pci_45,77250
__import__.pci_46,77250
__import__.pci_47,77250
__import__.pci_48,77250
__import__.pci_54,77250
__import__.pci_63,77250
__import__.pci_15,77250
__import__.pci_70,77250
__export__.product_category_3587_b0486ecd,77250
__export__.product_category_3284_17585f71,77250
__export__.product_category_3385_94240163,77250
__import__.pci_69,77250
__import__.pp_pc_33,77250
__import__.new_pc_4,77250
__import__.pci_50,77250
__import__.pci_76,77250
__import__.pci_77,77250
__import__.pci_84,77250
__export__.product_category_3303_bbca3519,77250
__export__.product_category_681_9a358c7e,77250
__export__.product_category_3286_343a1c83,77250
__import__.pp_pc_54,77250
__import__.pp_pc_63,77250
__export__.product_category_3285_908d6f5b,77250
__import__.pp_pc_57,77250
__export__.product_category_3280_b9328203,77250
__export__.product_category_3612_39d7c589,77250
__export__.product_category_1897_2deea164,77250
__import__.pp_pc_61,77250
__import__.pp_pc_66,77250
__export__.product_category_3298_c7174ae8,77250
__import__.pp_pc_53,77250
__import__.pp_pc_52,77250
__import__.pp_pc_65,77250
__export__.product_category_3392_f14f0b11,77250
__export__.product_category_3292_26ebdf8f,77250
__export__.product_category_358_403d3381,77250
__import__.pci_21,77250
__export__.product_category_682_abd63030,77250
__import__.pp_pc_67,77250
__import__.pp_pc_77,77250
__import__.pci_35,77250
__export__.product_category_3279_2a33f97c,77250
__export__.product_category_3282_5c50c65d,77250
__export__.product_category_2878_b8304292,77250
__export__.product_category_2873_7b75f29c,77250
__import__.pci_83,77250
__export__.product_category_3299_fab6c343,77250
__import__.pp_pc_32,77250
__import__.pp_pc_75,77250
__import__.pp_pc_70,77250
__import__.pp_pc_56,77250
__import__.pp_pc_68,77250
__import__.pp_pc_60,77250
__export__.product_category_1908_47a0ade5,77250
__import__.pp_pc_18,77250
__import__.pci_75,77250
__import__.pp_pc_64,77250
