External ID,Inventory Valuation
__export__.product_category_1_ca1a5e3b,Periodic (at closing)
product.product_category_expenses,Periodic (at closing)
__import__.pci_3,Periodic (at closing)
__import__.new_pc_1,Periodic (at closing)
__import__.new_pc_3,Periodic (at closing)
__import__.new_pc_4,Periodic (at closing)
__import__.pp_pc_12,Periodic (at closing)
__import__.pp_pc_18,Periodic (at closing)
__import__.pp_pc_45,Periodic (at closing)
__import__.pp_pc_52,Periodic (at closing)
__import__.pp_pc_60,Periodic (at closing)
__import__.pp_pc_61,Periodic (at closing)
__import__.pp_pc_62,Periodic (at closing)
__import__.pp_pc_63,Periodic (at closing)
__import__.pp_pc_64,Periodic (at closing)
__import__.pp_pc_65,Periodic (at closing)
__import__.pp_pc_66,Periodic (at closing)
__import__.pp_pc_67,Periodic (at closing)
__import__.pp_pc_68,Periodic (at closing)
__import__.pp_pc_71,Periodic (at closing)
__import__.pp_pc_72,Periodic (at closing)
__import__.pp_pc_73,Periodic (at closing)
__import__.pp_pc_75,Periodic (at closing)
delivery.product_category_deliveries,Periodic (at closing)
__export__.product_category_682_abd63030,Periodic (at closing)
__export__.product_category_1896_e773602c,Periodic (at closing)
__export__.product_category_1906_2a260812,Periodic (at closing)
__export__.product_category_1908_47a0ade5,Periodic (at closing)
__export__.product_category_3279_2a33f97c,Periodic (at closing)
__export__.product_category_3280_b9328203,Periodic (at closing)
__export__.product_category_3282_5c50c65d,Periodic (at closing)
__export__.product_category_3284_17585f71,Periodic (at closing)
__export__.product_category_3285_908d6f5b,Periodic (at closing)
__export__.product_category_3286_343a1c83,Periodic (at closing)
__export__.product_category_3287_f28fc382,Periodic (at closing)
__export__.product_category_3288_d2018909,Periodic (at closing)
__export__.product_category_3289_b52ca8e4,Periodic (at closing)
__export__.product_category_3290_c67410db,Periodic (at closing)
__export__.product_category_3291_13f3657c,Periodic (at closing)
__export__.product_category_3292_26ebdf8f,Periodic (at closing)
__export__.product_category_3294_987ca084,Periodic (at closing)
__export__.product_category_3299_fab6c343,Periodic (at closing)
__export__.product_category_3300_b52701e9,Periodic (at closing)
__export__.product_category_3303_bbca3519,Periodic (at closing)
__export__.product_category_3320_92de9749,Periodic (at closing)
__export__.product_category_3321_526e05ba,Periodic (at closing)
__export__.product_category_3322_967f4585,Periodic (at closing)
__export__.product_category_3323_dbadcff3,Periodic (at closing)
__export__.product_category_3324_9c7e6e4c,Periodic (at closing)
__export__.product_category_3325_ffa2bc24,Periodic (at closing)
__export__.product_category_3326_a9641d09,Periodic (at closing)
__export__.product_category_3327_818d4158,Periodic (at closing)
__export__.product_category_3328_0e741a16,Periodic (at closing)
__export__.product_category_3329_955610ef,Periodic (at closing)
__export__.product_category_3330_0f8f8cdd,Periodic (at closing)
__export__.product_category_3331_42d6dd01,Periodic (at closing)
__export__.product_category_3332_c0213c6d,Periodic (at closing)
__export__.product_category_3333_ff0be4c8,Periodic (at closing)
__export__.product_category_3334_30f3c768,Periodic (at closing)
__export__.product_category_3377_68f744bb,Periodic (at closing)
__export__.product_category_3378_58d91117,Periodic (at closing)
__export__.product_category_3379_ea11ca34,Periodic (at closing)
__export__.product_category_3380_cb3af103,Periodic (at closing)
__export__.product_category_3381_ae350eaf,Periodic (at closing)
__export__.product_category_3382_52e2ccdc,Periodic (at closing)
__export__.product_category_3383_c86b62ee,Periodic (at closing)
__export__.product_category_3385_94240163,Periodic (at closing)
__export__.product_category_3387_40ce6479,Periodic (at closing)
__export__.product_category_3390_24194726,Periodic (at closing)
__export__.product_category_3392_f14f0b11,Periodic (at closing)
__export__.product_category_3396_3e900dcb,Periodic (at closing)
__export__.product_category_3401_c5e2c6a6,Periodic (at closing)
__export__.product_category_3407_0d02edff,Periodic (at closing)
__export__.product_category_3411_dae24cc6,Periodic (at closing)
__export__.product_category_3412_9895ff9d,Periodic (at closing)
__export__.product_category_3413_84b0a738,Periodic (at closing)
__export__.product_category_3418_63901857,Periodic (at closing)
__export__.product_category_3420_af953f8c,Periodic (at closing)
__export__.product_category_3421_b9f2d3d8,Periodic (at closing)
__export__.product_category_3422_214ae66d,Periodic (at closing)
__export__.product_category_3423_84ffab75,Periodic (at closing)
__export__.product_category_3424_b9c29295,Periodic (at closing)
__export__.product_category_3425_6e00d62b,Periodic (at closing)
__export__.product_category_3426_aa200459,Periodic (at closing)
__export__.product_category_3427_6a7f9da7,Periodic (at closing)
__export__.product_category_3429_56bfe66b,Periodic (at closing)
__export__.product_category_3430_a4e57b3d,Periodic (at closing)
__export__.product_category_3431_1d95c000,Periodic (at closing)
__export__.product_category_3432_fe241044,Periodic (at closing)
__export__.product_category_3433_a65cdc81,Periodic (at closing)
__export__.product_category_3434_5212ee8b,Periodic (at closing)
__export__.product_category_3573_9fd73ff9,Periodic (at closing)
__export__.product_category_3580_90496ca9,Periodic (at closing)
__export__.product_category_3583_d9648aa2,Periodic (at closing)
__export__.product_category_3586_8d794744,Periodic (at closing)
__export__.product_category_3588_a707314e,Periodic (at closing)
__export__.product_category_3589_7fa0f19a,Periodic (at closing)
__export__.product_category_3590_8a613db8,Periodic (at closing)
__export__.product_category_3591_e70a5155,Periodic (at closing)
__export__.product_category_3592_fead2594,Periodic (at closing)
__export__.product_category_3593_264057ec,Periodic (at closing)
__export__.product_category_3594_68bfc509,Periodic (at closing)
__export__.product_category_3595_4f5df176,Periodic (at closing)
__export__.product_category_3596_176929b6,Periodic (at closing)
__export__.product_category_3597_7e926548,Periodic (at closing)
__export__.product_category_3598_30c0fe99,Periodic (at closing)
__export__.product_category_3599_10008b78,Periodic (at closing)
__export__.product_category_3600_816da8ed,Periodic (at closing)
