"Display Name","ID","Costing Method","Inventory Valuation","Price Difference Account/ID","Price Difference Account/Code","Price Difference Account/Account Name","Price Difference Account/Type","Price Difference Account/Active","Price Difference Account/Companies/ID","Price Difference Account/Companies/Company Name"
"Factory Labour","3320","Standard Price","Perpetual (at invoicing)","","","","","","",""
"Factory Metal","3323","Standard Price","Perpetual (at invoicing)","","","","","","",""
"Factory Meter","3324","Standard Price","Perpetual (at invoicing)","","","","","","",""
"Factory Other","3326","Standard Price","Perpetual (at invoicing)","","","","","","",""
"Factory Plastic","3327","Standard Price","Perpetual (at invoicing)","","","","","","",""
"File Clip Frame","3589","Standard Price","Periodic (at closing)","","","","","","",""
"Finished Goods ","3379","Standard Price","Perpetual (at invoicing)","","","","","","",""
"Fitting Group.","373","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Brass Faucet Elbow","274","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Brass Faucet Socket","275","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Brass Faucet Tee","276","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Bushing","3390","Standard Price","Perpetual (at invoicing)","","","","","","",""
"Fitting Group. / Cap","278","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Cap DL","279","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Clean Out Plug","282","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Cross TY DL","285","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Cross Tee","3283","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / ELBOW","287","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Elbow (DL)","288","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Faucet Elbow","292","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Faucet Reducing Elbow","293","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Faucet Socket","294","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Faucet Tee","295","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Fitting Clip","321","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Fitting Socket","296","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Head","302","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Nipple","308","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Reducing Elbow","323","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Reducing Socket","325","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Reducing Socket(DL)","326","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Reducing TY DL","327","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Reducing Tee","328","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Reducing Tee (DL)","329","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Reducing Y DL","330","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Saddle","332","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Saddle (New)","333","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Socket DL","334","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Socket Push In","335","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Socket Union","336","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / TY (DL)","339","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Tee","340","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Tee DL","341","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Valve Elbow","346","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Valve Plug","347","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Valve Socket","348","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Valve Socket Pushin","349","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Way Tee","353","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fitting Group. / Y DL","356","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Flange","297","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Floor Drain","298","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Foot Valve","300","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Fuel","3381","Standard Price","Perpetual (at invoicing)","","","","","","",""
"G20 Pipe","3397","Standard Price","Perpetual (at invoicing)","","","","","","",""
"GOLDTAX အိမ်သုတ်ဆေး","3399","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Gold Lex Window Profile","3395","Standard Price","Perpetual (at invoicing)","","","","","","",""
"Gold Series (Polishing)","3598","Standard Price","Periodic (at closing)","","","","","","",""
"Gold Tax Pipe","3391","Standard Price","Perpetual (at invoicing)","","","","","","",""
"Goods","3639","Standard Price","Perpetual (at invoicing)","","","","","","",""
"Gutter Fitting","301","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"HD (Blow) ရေတိုင်ကီ","3389","Standard Price","Perpetual (at invoicing)","","","","","","",""
"Heater Coil for Mould","3418","Standard Price","Periodic (at closing)","","","","","","",""
"JADE အိမ်သုတ်ဆေး","3398","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Junnet","305","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"KGO Design","3434","Standard Price","Periodic (at closing)","","","","","","",""
"Kaw Bu","306","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"King သံစားပွဲ","637","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Lion Ware (Polishing)","3596","Standard Price","Periodic (at closing)","","","","","","",""
"MOANA ကြက်စာခွက်","3638","Standard Price","Perpetual (at invoicing)","","","","","","",""
"Main Box","3330","Standard Price","Perpetual (at invoicing)","","","","","","",""
"Main Label","3329","Standard Price","Perpetual (at invoicing)","","","","","","",""
"Main Other","3332","Standard Price","Perpetual (at invoicing)","","","","","","",""
"Main Plastic","3328","Standard Price","Perpetual (at invoicing)","","","","","","",""
"Main String","3331","Standard Price","Perpetual (at invoicing)","","","","","","",""
"Mango Clip","3433","Standard Price","Periodic (at closing)","","","","","","",""
"Mango Gutter","3393","Standard Price","Perpetual (at invoicing)","","","","","","",""
"Mango Hose","367","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Mango Pipe","366","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Mango Ware (Polishing)","3590","Standard Price","Periodic (at closing)","","","","","","",""
"Mango Window Profile","3405","Standard Price","Periodic (at closing)","","","","","","",""
"Marble Series (Polishing)","3594","Standard Price","Periodic (at closing)","","","","","","",""
"Marble ရေတိုင်ကီ","3406","Standard Price","Periodic (at closing)","","","","","","",""
"Oil","3422","Standard Price","Periodic (at closing)","","","","","","",""
"PVC Ball Valve Blue စွပ် ဆက်စပ်ပစ္စည်း","3623","Standard Price","Periodic (at closing)","","","","","","",""
"PVC Ball Valve Green စွပ် ဆက်စပ်ပစ္စည်း","3624","Standard Price","Periodic (at closing)","","","","","","",""
"PVC Ball Valve Red စွပ် ဆက်စပ်ပစ္စည်း","3625","Standard Price","Periodic (at closing)","","","","","","",""
"PVC Door","317","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Packing","3380","Standard Price","Perpetual (at invoicing)","","","","","","",""
"Packing for Window Profile","3426","Standard Price","Periodic (at closing)","","","","","","",""
"Packing(Hose)","3627","Standard Price","Periodic (at closing)","","","","","","",""
"Packing-Plastic","3421","Standard Price","Periodic (at closing)","","","","","","",""
"Packing-Sticker","3425","Standard Price","Periodic (at closing)","","","","","","",""
"Pallet","3582","Standard Price","Periodic (at closing)","","","","","","",""
"Panel Box","320","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Pipe (အရောင်ဖျော့)","3410","Standard Price","Periodic (at closing)","","","","","","",""
"Pipe(ပေတို)","3388","Standard Price","Perpetual (at invoicing)","","","","","","",""
"Popular Group","1896","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / BOX","599","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Brush","587","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / King  အုပ်ဆောင်း","616","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / King ခုံ","615","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / King ချိတ်","614","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / King ခြင်း","613","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / King ဇကာ","617","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / King ဇလုံ","612","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / King ထွေးခံ","622","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / King ဖလား","611","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / King ဘူး","619","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / King ရေခွက်","620","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / King ရေပုံး","618","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / King ဦးထုပ်","621","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / MOANA  Brush","3583","Standard Price","Periodic (at closing)","","","","","","",""
"Popular Group / MOANA  ‌‌‌ဂေါ်ပြား","3631","Standard Price","Periodic (at closing)","","","","","","",""
"Popular Group / MOANA Box","3412","Standard Price","Periodic (at closing)","","","","","","",""
"Popular Group / MOANA ချိတ်","3633","Standard Price","Periodic (at closing)","","","","","","",""
"Popular Group / MOANA ခြင်း","3634","Standard Price","Periodic (at closing)","","","","","","",""
"Popular Group / MOANA ဇကာ","3613","Standard Price","Periodic (at closing)","","","","","","",""
"Popular Group / MOANA ဇလုံ","3635","Standard Price","Periodic (at closing)","","","","","","",""
"Popular Group / MOANA ထွေးခံ","3637","Standard Price","Periodic (at closing)","","","","","","",""
"Popular Group / MOANA ရေပုံး","3636","Standard Price","Periodic (at closing)","","","","","","",""
"Popular Group / Mango  Brush","623","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Mango Box","2871","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Mango ဇလုံ","626","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Mango တံမျက်စည်း","624","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Mango ဖလား","625","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / ORDER","648","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit Box","672","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit Foot Mass","678","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit ကတော့","662","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit ခုံ","676","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit ချိတ်","663","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit ခြင်း","653","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit ခွက်","667","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit ဂေါ် ပြား","658","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit ဂျိုင့်","666","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit စင်","655","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit စဉ့်နီတုံး","661","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit စားပွဲ","677","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit ဆပ်ပြာခွက်","673","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit ဆီးအိုး","657","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit ဇကာ","652","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit ဇလုံ","651","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit ပန်းအိုး","669","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit ပုဂံ","671","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit ဖလား","670","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit ဘူး","660","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit မုန့်စင်","654","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit မှန်","659","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit ယပ်တောင်","668","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit ရေခဲဘူး","679","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit ရေတကောင်း","665","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit ရေပုံး","674","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit လင်ဗန်း","664","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit အမှိုက်ပုံး","675","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / Summit အုပ်ဆောင်း","656","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / ခုံ","608","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / ချိတ်","596","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / ခြင်း","598","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / စက်ဘီးခြင်း","271","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / စင်","605","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / စားပွဲ","607","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / ဆပ်ပြာခွက်","584","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / ဆီးအိုး","586","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / ဇကာ","597","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / ဇလုံ","601","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / ထွေးခံ","585","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / ပုဂံ","583","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / ဖလား","592","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / ဗီဒို","3401","Standard Price","Periodic (at closing)","","","","","","",""
"Popular Group / ဘူး","579","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / မုန့်ကဒ်","606","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / မှန်","307","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / ယပ်တောင်","591","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / ရေခဲဘူး","580","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / ရေခွက်","581","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / ရေတကောင်း","582","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / ရေပုံး","600","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / ရေမှုတ်","593","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / လင်ဗန်း","589","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / အမှိုက်ပုံး","603","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / အိမ်သာ Brush","588","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / အုပ်ဆောင်း","602","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / အံဆွဲ","604","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / ဦးထုပ်","590","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Group / ‌‌‌ဂေါ်ပြား","594","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Popular Pipe (Cancel)","365","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"Production","3615","Standard Price","Periodic (at closing)","","","","","","",""
"Raw","3580","Standard Price","Periodic (at closing)","","","","","","",""
"Raw (Bajar Pipe)","3378","Standard Price","Perpetual (at invoicing)","","","","","","",""
"Raw (Recycle)","3377","Standard Price","Perpetual (at invoicing)","","","","","","",""
"Raw Chemical","3427","Standard Price","Periodic (at closing)","","","","","","",""
"Raw Materials","3334","Standard Price","Perpetual (at invoicing)","","","","","","",""
"Raw Materials(Hose)","3628","Standard Price","Periodic (at closing)","","","","","","",""
"Recycle","3429","Standard Price","Periodic (at closing)","","","","","","",""
"Recycle (Kaw Seed)","3431","Standard Price","Periodic (at closing)","","","","","","",""
"Recycle(Hose)","3629","Standard Price","Periodic (at closing)","","","","","","",""
"Reject","3599","Standard Price","Periodic (at closing)","","","","","","",""
"Repro Tee ","630","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"SOGO Gutter","363","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"SOGO Hose","319","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"SOGO Pipe","350","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"SOGO Window Profile","374","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
"SOGO Window Profile / Window","354","Standard Price","Perpetual (at invoicing)","2923","502004","Price Difference ","Expenses","True","13","Test"
