"Display Name","ID","Costing Method","Inventory Valuation","Price Difference Account/ID","Price Difference Account/Code","Price Difference Account/Account Name","Price Difference Account/Type","Price Difference Account/Active","Price Difference Account/Companies/ID","Price Difference Account/Companies/Company Name"
"Fitting Group. / Brass Faucet Elbow","274","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Brass Faucet Socket","275","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Brass Faucet Tee","276","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Bushing","3390","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Cap","278","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Cap DL","279","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Clean Out Plug","282","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Cross TY DL","285","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Cross Tee","3283","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / ELBOW","287","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Elbow (DL)","288","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Faucet Elbow","292","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Faucet Reducing Elbow","293","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Faucet Socket","294","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Faucet Tee","295","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Fitting Clip","321","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Fitting Socket","296","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Head","302","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Nipple","308","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Reducing Elbow","323","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Reducing Socket","325","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Reducing Socket(DL)","326","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Reducing TY DL","327","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Reducing Tee","328","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Reducing Tee (DL)","329","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Reducing Y DL","330","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Saddle","332","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Saddle (New)","333","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
