"Display Name","ID","Costing Method","Inventory Valuation","Price Difference Account/ID","Price Difference Account/Code","Price Difference Account/Account Name","Price Difference Account/Type","Price Difference Account/Deprecated","Price Difference Account/Company/ID","Price Difference Account/Company/Company Name"
" ဆီပုံး ","3291","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
" မယ်လမင်း Group","1906","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
" မယ်လမင်း Group / Gold မယ်လမင်း","3413","Standard Price","Manual","","","","","","",""
" မယ်လမင်း Group / Lion မယ်လမင်း","647","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
" မယ်လမင်း Group / Mango မယ်လမင်း","645","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
" မယ်လမင်း Group / Mango မယ်လမင်းအပါး","646","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
" မယ်လမင်း Group / Marble မယ်လမင်း","3411","Standard Price","Manual","","","","","","",""
" မယ်လမင်း Group / မယ်လမင်း(အမဲ)","3407","Standard Price","Manual","","","","","","",""
"001-Accessories","3619","Standard Price","Manual","","","","","","",""
"001-Accessories/Aluminium Coil","3620","Standard Price","Manual","","","","","","",""
"001-Accessories/Heater Coil","3621","Standard Price","Manual","","","","","","",""
"001-Filter","3622","Standard Price","Manual","","","","","","",""
"001-Raw Recycle","3573","Standard Price","Manual","","","","","","",""
"001-Sticker/King","3616","Standard Price","Manual","","","","","","",""
"001-Sticker/SOGO","3617","Standard Price","Manual","","","","","","",""
"001-Sticker/Yamaha","3618","Standard Price","Manual","","","","","","",""
"Accessories for Machinery","3382","Standard Price","Manual","","","","","","",""
"Accessories for Machinery-Domino","3423","Standard Price","Manual","","","","","","",""
"Accessories for Machinery-Filter","3420","Standard Price","Manual","","","","","","",""
"Accessories for Machinery-Inject Printer","3424","Standard Price","Manual","","","","","","",""
"Accessory For Machinery(Hose)","3626","Standard Price","Manual","","","","","","",""
"Adapter","3300","Standard Price","Manual","","","","","","",""
"All","1","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"All / Deliveries","680","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"All / Expenses","3","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"All / Saleable","2","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Ball Valve Accessory","3614","Standard Price","Manual","","","","","","",""
"Ball Valve စွပ်","269","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Ball Valve ရစ်","3396","Standard Price","Manual","","","","","","",""
"Bio Ball","3387","Standard Price","Manual","","","","","","",""
"Black Series (Polishing)","3593","Standard Price","Manual","","","","","","",""
"COVID Face Shield","3288","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"COVID အမှိုက်ပုံး","3289","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Calendar Clip","3287","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Ceiling","280","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Clip","633","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Comb","2872","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Compound","3430","Standard Price","Manual","","","","","","",""
"Compound(Hose)","3630","Standard Price","Manual","","","","","","",""
"Corner","284","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Cross Tee Ball Valve","3290","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Damage Gold Lex Window Profile","3603","Standard Price","Manual","","","","","","",""
"Damage Mango Window Profile","3602","Standard Price","Manual","","","","","","",""
"Damage PVC E-Pipe","3600","Standard Price","Manual","","","","","","",""
"Damage SOGO Window Profile","3601","Standard Price","Manual","","","","","","",""
"Damage Trunking","3432","Standard Price","Manual","","","","","","",""
"Design Paper- Gold Series","3591","Standard Price","Manual","","","","","","",""
"Design Paper-Lion","3597","Standard Price","Manual","","","","","","",""
"Design Paper-Melamine","3592","Standard Price","Manual","","","","","","",""
"Design Paper-Urea","3595","Standard Price","Manual","","","","","","",""
"Door Lock","286","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Dye Powder","3632","Standard Price","Manual","","","","","","",""
"FG-Damage","3604","Standard Price","Manual","","","","","","",""
"Factory Box","3322","Standard Price","Manual","","","","","","",""
"Factory Diesel","3325","Standard Price","Manual","","","","","","",""
"Factory Label","3321","Standard Price","Manual","","","","","","",""
"Factory Labour","3320","Standard Price","Manual","","","","","","",""
"Factory Metal","3323","Standard Price","Manual","","","","","","",""
"Factory Meter","3324","Standard Price","Manual","","","","","","",""
"Factory Other","3326","Standard Price","Manual","","","","","","",""
"Factory Plastic","3327","Standard Price","Manual","","","","","","",""
"File Clip Frame","3589","Standard Price","Manual","","","","","","",""
"Finished Goods ","3379","Standard Price","Manual","","","","","","",""
"Fitting Group.","373","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Brass Faucet Elbow","274","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Brass Faucet Socket","275","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Brass Faucet Tee","276","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Bushing","3390","Standard Price","Manual","","","","","","",""
"Fitting Group. / Cap","278","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Cap DL","279","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Clean Out Plug","282","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Cross TY DL","285","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Cross Tee","3283","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / ELBOW","287","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Elbow (DL)","288","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Faucet Elbow","292","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Faucet Reducing Elbow","293","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Faucet Socket","294","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Faucet Tee","295","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Fitting Clip","321","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Fitting Socket","296","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Head","302","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Nipple","308","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Reducing Elbow","323","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Reducing Socket","325","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Reducing Socket(DL)","326","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Reducing TY DL","327","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Reducing Tee","328","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Reducing Tee (DL)","329","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Reducing Y DL","330","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Saddle","332","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Saddle (New)","333","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Socket DL","334","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Socket Push In","335","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Socket Union","336","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / TY (DL)","339","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Tee","340","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Tee DL","341","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Valve Elbow","346","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Valve Plug","347","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Valve Socket","348","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Valve Socket Pushin","349","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Way Tee","353","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fitting Group. / Y DL","356","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Flange","297","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Floor Drain","298","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Foot Valve","300","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Fuel","3381","Standard Price","Manual","","","","","","",""
"G20 Pipe","3397","Standard Price","Manual","","","","","","",""
"GOLDTAX အိမ်သုတ်ဆေး","3399","Standard Price","Manual","","","","","","",""
"Gold Lex Window Profile","3395","Standard Price","Manual","","","","","","",""
"Gold Series (Polishing)","3598","Standard Price","Manual","","","","","","",""
"Gold Tax Pipe","3391","Standard Price","Manual","","","","","","",""
"Gutter Fitting","301","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"HD (Blow) ရေတိုင်ကီ","3389","Standard Price","Manual","","","","","","",""
"Heater Coil for Mould","3418","Standard Price","Manual","","","","","","",""
"JADE အိမ်သုတ်ဆေး","3398","Standard Price","Manual","","","","","","",""
"Junnet","305","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"KGO Design","3434","Standard Price","Manual","","","","","","",""
"Kaw Bu","306","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"King သံစားပွဲ","637","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Lion Ware (Polishing)","3596","Standard Price","Manual","","","","","","",""
"Main Box","3330","Standard Price","Manual","","","","","","",""
"Main Label","3329","Standard Price","Manual","","","","","","",""
"Main Other","3332","Standard Price","Manual","","","","","","",""
"Main Plastic","3328","Standard Price","Manual","","","","","","",""
"Main String","3331","Standard Price","Manual","","","","","","",""
"Mango Clip","3433","Standard Price","Manual","","","","","","",""
"Mango Gutter","3393","Standard Price","Manual","","","","","","",""
"Mango Hose","367","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Mango Pipe","366","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Mango Ware (Polishing)","3590","Standard Price","Manual","","","","","","",""
"Mango Window Profile","3405","Standard Price","Manual","","","","","","",""
"Marble Series (Polishing)","3594","Standard Price","Manual","","","","","","",""
"Marble ရေတိုင်ကီ","3406","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Oil","3422","Standard Price","Manual","","","","","","",""
"PVC Ball Valve Blue စွပ် ဆက်စပ်ပစ္စည်း","3623","Standard Price","Manual","","","","","","",""
"PVC Ball Valve Green စွပ် ဆက်စပ်ပစ္စည်း","3624","Standard Price","Manual","","","","","","",""
"PVC Ball Valve Red စွပ် ဆက်စပ်ပစ္စည်း","3625","Standard Price","Manual","","","","","","",""
"PVC Door","317","Standard Price","Automated","17906","502004","Price Difference ","Cost of Revenue","","54","မထားစု Industry (1.6.2022)"
"Packing","3380","Standard Price","Manual","","","","","","",""
"Packing for Window Profile","3426","Standard Price","Manual","","","","","","",""
"Packing(Hose)","3627","Standard Price","Manual","","","","","","",""
