"Display Name","ID","Costing Method","Inventory Valuation","Price Difference Account/ID","Price Difference Account/Code","Price Difference Account/Account Name","Price Difference Account/Type","Price Difference Account/Deprecated","Price Difference Account/Company/ID","Price Difference Account/Company/Company Name"
"Fitting Group. / Nipple","308","Standard Price","Automated","","","","","","",""
"Fitting Group. / Reducing Elbow","323","Standard Price","Automated","","","","","","",""
"Fitting Group. / Reducing Socket","325","Standard Price","Automated","","","","","","",""
"Fitting Group. / Reducing Socket(DL)","326","Standard Price","Automated","","","","","","",""
"Fitting Group. / Reducing TY DL","327","Standard Price","Automated","","","","","","",""
"Fitting Group. / Reducing Tee","328","Standard Price","Automated","","","","","","",""
"Fitting Group. / Reducing Tee (DL)","329","Standard Price","Automated","","","","","","",""
"Fitting Group. / Reducing Y DL","330","Standard Price","Automated","","","","","","",""
"Fitting Group. / Saddle","332","Standard Price","Automated","","","","","","",""
"Fitting Group. / Saddle (New)","333","Standard Price","Automated","","","","","","",""
"Fitting Group. / Socket DL","334","Standard Price","Automated","","","","","","",""
"Fitting Group. / Socket Push In","335","Standard Price","Automated","","","","","","",""
"Fitting Group. / Socket Union","336","Standard Price","Automated","","","","","","",""
"Fitting Group. / TY (DL)","339","Standard Price","Automated","","","","","","",""
"Fitting Group. / Tee","340","Standard Price","Automated","","","","","","",""
"Fitting Group. / Tee DL","341","Standard Price","Automated","","","","","","",""
"Fitting Group. / Valve Elbow","346","Standard Price","Automated","","","","","","",""
"Fitting Group. / Valve Plug","347","Standard Price","Automated","","","","","","",""
"Fitting Group. / Valve Socket","348","Standard Price","Automated","","","","","","",""
"Fitting Group. / Valve Socket Pushin","349","Standard Price","Automated","","","","","","",""
"Fitting Group. / Way Tee","353","Standard Price","Automated","","","","","","",""
"Fitting Group. / Y DL","356","Standard Price","Automated","","","","","","",""
"Flange","297","Standard Price","Automated","","","","","","",""
"Floor Drain","298","Standard Price","Automated","","","","","","",""
"Foot Valve","300","Standard Price","Automated","","","","","","",""
"Fuel","3381","Standard Price","Manual","","","","","","",""
"G20 Pipe","3397","Standard Price","Manual","","","","","","",""
"GOLDTAX အိမ်သုတ်ဆေး","3399","Standard Price","Manual","","","","","","",""
"Gold Lex Window Profile","3395","Standard Price","Manual","","","","","","",""
"Gold Series (Polishing)","3598","Standard Price","Manual","","","","","","",""
"Gold Tax Pipe","3391","Standard Price","Manual","","","","","","",""
