"Display Name","ID","Costing Method","Inventory Valuation","Price Difference Account/ID","Price Difference Account/Code","Price Difference Account/Account Name","Price Difference Account/Type","Price Difference Account/Deprecated","Price Difference Account/Company/ID","Price Difference Account/Company/Company Name"
" ဆီပုံး ","3291","First In First Out (FIFO)","Automated","","","","","","",""
" မယ်လမင်း Group","1906","Standard Price","Manual","","","","","","",""
" မယ်လမင်း Group / Gold မယ်လမင်း","3413","Standard Price","Manual","","","","","","",""
" မယ်လမင်း Group / Lion မယ်လမင်း","647","Standard Price","Manual","","","","","","",""
" မယ်လမင်း Group / Mango မယ်လမင်း","645","Standard Price","Manual","","","","","","",""
" မယ်လမင်း Group / Mango မယ်လမင်းအပါး","646","Standard Price","Manual","","","","","","",""
" မယ်လမင်း Group / Marble မယ်လမင်း","3411","Standard Price","Manual","","","","","","",""
" မယ်လမင်း Group / မယ်လမင်း(အမဲ)","3407","Standard Price","Manual","","","","","","",""
"001-Accessories","3619","Standard Price","Manual","","","","","","",""
"001-Accessories/Aluminium Coil","3620","Standard Price","Manual","","","","","","",""
"001-Accessories/Heater Coil","3621","Standard Price","Manual","","","","","","",""
"001-Filter","3622","Standard Price","Manual","","","","","","",""
"001-Raw Recycle","3573","Standard Price","Manual","","","","","","",""
"001-Sticker/King","3616","Standard Price","Manual","","","","","","",""
"001-Sticker/SOGO","3617","Standard Price","Manual","","","","","","",""
"001-Sticker/Yamaha","3618","Standard Price","Manual","","","","","","",""
"Accessories for Machinery","3382","First In First Out (FIFO)","Automated","","","","","","",""
"Accessories for Machinery-Domino","3423","First In First Out (FIFO)","Automated","","","","","","",""
"Accessories for Machinery-Filter","3420","First In First Out (FIFO)","Automated","","","","","","",""
"Accessories for Machinery-Inject Printer","3424","First In First Out (FIFO)","Automated","","","","","","",""
"Accessory For Machinery(Hose)","3626","Standard Price","Manual","","","","","","",""
"Adapter","3300","Standard Price","Manual","","","","","","",""
"All","1","Standard Price","Manual","","","","","","",""
"All / Deliveries","680","Standard Price","Manual","","","","","","",""
"All / Expenses","3","Standard Price","Manual","","","","","","",""
"All / Saleable","2","Standard Price","Manual","","","","","","",""
"Ball Valve Accessory","3614","Standard Price","Manual","","","","","","",""
"Ball Valve စွပ်","269","Standard Price","Manual","","","","","","",""
"Ball Valve ရစ်","3396","Standard Price","Manual","","","","","","",""
"Bio Ball","3387","Standard Price","Manual","","","","","","",""
"Black Series (Polishing)","3593","Standard Price","Manual","","","","","","",""
"COVID Face Shield","3288","Standard Price","Manual","","","","","","",""
"COVID အမှိုက်ပုံး","3289","Standard Price","Manual","","","","","","",""
"Calendar Clip","3287","First In First Out (FIFO)","Automated","","","","","","",""
"Ceiling","280","Standard Price","Manual","","","","","","",""
"Clip","633","Standard Price","Manual","","","","","","",""
"Comb","2872","Standard Price","Manual","","","","","","",""
"Compound","3430","First In First Out (FIFO)","Automated","","","","","","",""
"Compound(Hose)","3630","Standard Price","Manual","","","","","","",""
"Corner","284","Standard Price","Manual","","","","","","",""
"Cross Tee Ball Valve","3290","Standard Price","Manual","","","","","","",""
"Damage Gold Lex Window Profile","3603","Standard Price","Manual","","","","","","",""
"Damage Mango Window Profile","3602","Standard Price","Manual","","","","","","",""
"Damage PVC E-Pipe","3600","Standard Price","Manual","","","","","","",""
"Damage SOGO Window Profile","3601","Standard Price","Manual","","","","","","",""
"Damage Trunking","3432","First In First Out (FIFO)","Automated","","","","","","",""
"Design Paper- Gold Series","3591","Standard Price","Manual","","","","","","",""
"Design Paper-Lion","3597","Standard Price","Manual","","","","","","",""
"Design Paper-Melamine","3592","Standard Price","Manual","","","","","","",""
"Design Paper-Urea","3595","Standard Price","Manual","","","","","","",""
"Door Lock","286","Standard Price","Manual","","","","","","",""
"Dye Powder","3632","Standard Price","Manual","","","","","","",""
"FG-Damage","3604","First In First Out (FIFO)","Automated","","","","","","",""
"Factory Box","3322","Standard Price","Manual","","","","","","",""
"Factory Diesel","3325","Standard Price","Manual","","","","","","",""
"Factory Label","3321","Standard Price","Manual","","","","","","",""
"Factory Labour","3320","Standard Price","Manual","","","","","","",""
"Factory Metal","3323","Standard Price","Manual","","","","","","",""
"Factory Meter","3324","Standard Price","Manual","","","","","","",""
"Factory Other","3326","Standard Price","Manual","","","","","","",""
"Factory Plastic","3327","Standard Price","Manual","","","","","","",""
"File Clip Frame","3589","Standard Price","Manual","","","","","","",""
"Finished Goods ","3379","Standard Price","Manual","","","","","","",""
"Fitting Group.","373","Standard Price","Manual","","","","","","",""
"Fitting Group. / Brass Faucet Elbow","274","Standard Price","Manual","","","","","","",""
"Fitting Group. / Brass Faucet Socket","275","Standard Price","Manual","","","","","","",""
"Fitting Group. / Brass Faucet Tee","276","Standard Price","Manual","","","","","","",""
"Fitting Group. / Bushing","3390","Standard Price","Manual","","","","","","",""
"Fitting Group. / Cap","278","Standard Price","Manual","","","","","","",""
"Fitting Group. / Cap DL","279","Standard Price","Manual","","","","","","",""
"Fitting Group. / Clean Out Plug","282","Standard Price","Manual","","","","","","",""
"Fitting Group. / Cross TY DL","285","Standard Price","Manual","","","","","","",""
"Fitting Group. / Cross Tee","3283","Standard Price","Manual","","","","","","",""
"Fitting Group. / ELBOW","287","Standard Price","Manual","","","","","","",""
"Fitting Group. / Elbow (DL)","288","Standard Price","Manual","","","","","","",""
"Fitting Group. / Faucet Elbow","292","Standard Price","Manual","","","","","","",""
"Fitting Group. / Faucet Reducing Elbow","293","Standard Price","Manual","","","","","","",""
"Fitting Group. / Faucet Socket","294","Standard Price","Manual","","","","","","",""
"Fitting Group. / Faucet Tee","295","Standard Price","Manual","","","","","","",""
"Fitting Group. / Fitting Clip","321","Standard Price","Manual","","","","","","",""
"Fitting Group. / Fitting Socket","296","Standard Price","Manual","","","","","","",""
"Fitting Group. / Head","302","Standard Price","Manual","","","","","","",""
"Fitting Group. / Nipple","308","Standard Price","Manual","","","","","","",""
"Fitting Group. / Reducing Elbow","323","Standard Price","Manual","","","","","","",""
"Fitting Group. / Reducing Socket","325","Standard Price","Manual","","","","","","",""
"Fitting Group. / Reducing Socket(DL)","326","Standard Price","Manual","","","","","","",""
"Fitting Group. / Reducing TY DL","327","Standard Price","Manual","","","","","","",""
"Fitting Group. / Reducing Tee","328","Standard Price","Manual","","","","","","",""
"Fitting Group. / Reducing Tee (DL)","329","Standard Price","Manual","","","","","","",""
"Fitting Group. / Reducing Y DL","330","Standard Price","Manual","","","","","","",""
"Fitting Group. / Saddle","332","Standard Price","Manual","","","","","","",""
"Fitting Group. / Saddle (New)","333","Standard Price","Manual","","","","","","",""
"Fitting Group. / Socket DL","334","Standard Price","Manual","","","","","","",""
"Fitting Group. / Socket Push In","335","Standard Price","Manual","","","","","","",""
"Fitting Group. / Socket Union","336","Standard Price","Manual","","","","","","",""
"Fitting Group. / TY (DL)","339","Standard Price","Manual","","","","","","",""
"Fitting Group. / Tee","340","Standard Price","Manual","","","","","","",""
"Fitting Group. / Tee DL","341","Standard Price","Manual","","","","","","",""
"Fitting Group. / Valve Elbow","346","Standard Price","Manual","","","","","","",""
"Fitting Group. / Valve Plug","347","Standard Price","Manual","","","","","","",""
"Fitting Group. / Valve Socket","348","Standard Price","Manual","","","","","","",""
"Fitting Group. / Valve Socket Pushin","349","Standard Price","Manual","","","","","","",""
"Fitting Group. / Way Tee","353","Standard Price","Manual","","","","","","",""
"Fitting Group. / Y DL","356","Standard Price","Manual","","","","","","",""
"Flange","297","Standard Price","Manual","","","","","","",""
"Floor Drain","298","Standard Price","Manual","","","","","","",""
"Foot Valve","300","Standard Price","Manual","","","","","","",""
"Fuel","3381","Standard Price","Manual","","","","","","",""
"G20 Pipe","3397","Standard Price","Manual","","","","","","",""
"GOLDTAX အိမ်သုတ်ဆေး","3399","Standard Price","Manual","","","","","","",""
"Gold Lex Window Profile","3395","First In First Out (FIFO)","Automated","","","","","","",""
"Gold Series (Polishing)","3598","Standard Price","Manual","","","","","","",""
"Gold Tax Pipe","3391","Standard Price","Manual","","","","","","",""
