"Display Name","ID","External ID"
"Flange","297","__import__.pci_29"
"Floor Drain","298","__import__.pci_30"
"Foot Valve","300","__import__.pci_32"
"Fuel","3381","__export__.product_category_3381_ae350eaf"
"G20 Pipe","3397","__export__.product_category_3397_11679b0f"
"GOLDTAX အိမ်သုတ်ဆေး","3399","__export__.product_category_3399_cb1fef6d"
"Gold Lex Window Profile","3395","__export__.product_category_3395_f57c809b"
"Gold Series (Polishing)","3598","__export__.product_category_3598_30c0fe99"
"Gold Tax Pipe","3391","__export__.product_category_3391_556adfc2"
"Goods","3639","product.product_category_goods"
"Gutter Fitting","301","__import__.pci_33"
"HD (Blow) ရေတိုင်ကီ","3389","__export__.product_category_3389_43d38a9f"
"Heater Coil for Mould","3418","__export__.product_category_3418_63901857"
"JADE အိမ်သုတ်ဆေး","3398","__export__.product_category_3398_07a85175"
"Junnet","305","__import__.pci_37"
"KGO Design","3434","__export__.product_category_3434_5212ee8b"
"Kaw Bu","306","__import__.pci_38"
"King သံစားပွဲ","637","__import__.pp_pc_62"
"Lion Ware (Polishing)","3596","__export__.product_category_3596_176929b6"
"MOANA ကြက်စာခွက်","3638","__export__.product_category_3638_fc0dd9bc"
"Main Box","3330","__export__.product_category_3330_0f8f8cdd"
"Main Label","3329","__export__.product_category_3329_955610ef"
"Main Other","3332","__export__.product_category_3332_c0213c6d"
"Main Plastic","3328","__export__.product_category_3328_0e741a16"
"Main String","3331","__export__.product_category_3331_42d6dd01"
"Mango Clip","3433","__export__.product_category_3433_a65cdc81"
"Mango Gutter","3393","__export__.product_category_3393_0ab4ede0"
"Mango Hose","367","__export__.product_category_367_42babad3"
"Mango Pipe","366","__export__.product_category_366_50484782"
"Mango Ware (Polishing)","3590","__export__.product_category_3590_8a613db8"
"Mango Window Profile","3405","__export__.product_category_3405_572ea9ac"
"Marble Series (Polishing)","3594","__export__.product_category_3594_68bfc509"
"Marble ရေတိုင်ကီ","3406","__export__.product_category_3406_22d07546"
"Oil","3422","__export__.product_category_3422_214ae66d"
"PVC Ball Valve Blue စွပ် ဆက်စပ်ပစ္စည်း","3623","__export__.product_category_3623_7649ecd1"
"PVC Ball Valve Green စွပ် ဆက်စပ်ပစ္စည်း","3624","__export__.product_category_3624_ee11affb"
"PVC Ball Valve Red စွပ် ဆက်စပ်ပစ္စည်း","3625","__export__.product_category_3625_0d18290d"
"PVC Door","317","__import__.pci_49"
"Packing","3380","__export__.product_category_3380_cb3af103"
"Packing for Window Profile","3426","__export__.product_category_3426_aa200459"
"Packing(Hose)","3627","__export__.product_category_3627_92f27a69"
"Packing-Plastic","3421","__export__.product_category_3421_b9f2d3d8"
"Packing-Sticker","3425","__export__.product_category_3425_6e00d62b"
"Pallet","3582","__export__.product_category_3582_2591cd4b"
"Panel Box","320","__import__.pci_52"
"Pipe (အရောင်ဖျော့)","3410","__export__.product_category_3410_cda444f5"
"Pipe(ပေတို)","3388","__export__.product_category_3388_bb325bf4"
"Popular Group","1896","__export__.product_category_1896_e773602c"
"Popular Group / BOX","599","__import__.pp_pc_22"
"Popular Group / Brush","587","__import__.pp_pc_9"
"Popular Group / King  အုပ်ဆောင်း","616","__import__.pp_pc_40"
"Popular Group / King ခုံ","615","__import__.pp_pc_39"
"Popular Group / King ချိတ်","614","__import__.pp_pc_38"
"Popular Group / King ခြင်း","613","__import__.pp_pc_37"
"Popular Group / King ဇကာ","617","__import__.pp_pc_41"
"Popular Group / King ဇလုံ","612","__import__.pp_pc_36"
"Popular Group / King ထွေးခံ","622","__import__.pp_pc_46"
"Popular Group / King ဖလား","611","__import__.pp_pc_35"
