Company ID,Category ID,External ID,Category,Source valuation,Before,Verified after,Status
1,3595,__export__.product_category_3595_4f5df176,Design Paper-Urea,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,286,__import__.pci_18,Door Lock,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,3632,__export__.product_category_3632_b8feb439,Dye Powder,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3604,__export__.product_category_3604_fdd27f12,FG-Damage,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3322,__export__.product_category_3322_967f4585,Factory Box,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3325,__export__.product_category_3325_ffa2bc24,Factory Diesel,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3321,__export__.product_category_3321_526e05ba,Factory Label,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3320,__export__.product_category_3320_92de9749,Factory Labour,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3323,__export__.product_category_3323_dbadcff3,Factory Metal,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3324,__export__.product_category_3324_9c7e6e4c,Factory Meter,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3326,__export__.product_category_3326_a9641d09,Factory Other,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3327,__export__.product_category_3327_818d4158,Factory Plastic,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3589,__export__.product_category_3589_7fa0f19a,File Clip Frame,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3379,__export__.product_category_3379_ea11ca34,Finished Goods ,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,373,__import__.new_pc_1,Fitting Group.,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,274,__import__.pci_6,Fitting Group. / Brass Faucet Elbow,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,275,__import__.pci_7,Fitting Group. / Brass Faucet Socket,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,276,__import__.pci_8,Fitting Group. / Brass Faucet Tee,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,3390,__export__.product_category_3390_24194726,Fitting Group. / Bushing,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,278,__import__.pci_10,Fitting Group. / Cap,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,279,__import__.pci_11,Fitting Group. / Cap DL,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,282,__import__.pci_14,Fitting Group. / Clean Out Plug,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,285,__import__.pci_17,Fitting Group. / Cross TY DL,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,3283,__export__.product_category_3283_4f9ad5af,Fitting Group. / Cross Tee,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,287,__import__.pci_19,Fitting Group. / ELBOW,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,288,__import__.pci_20,Fitting Group. / Elbow (DL),Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,292,__import__.pci_24,Fitting Group. / Faucet Elbow,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,293,__import__.pci_25,Fitting Group. / Faucet Reducing Elbow,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,294,__import__.pci_26,Fitting Group. / Faucet Socket,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,295,__import__.pci_27,Fitting Group. / Faucet Tee,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,321,__import__.pci_53,Fitting Group. / Fitting Clip,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,296,__import__.pci_28,Fitting Group. / Fitting Socket,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,302,__import__.pci_34,Fitting Group. / Head,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,308,__import__.pci_40,Fitting Group. / Nipple,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,323,__import__.pci_55,Fitting Group. / Reducing Elbow,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,325,__import__.pci_57,Fitting Group. / Reducing Socket,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,326,__import__.pci_58,Fitting Group. / Reducing Socket(DL),Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,327,__import__.pci_59,Fitting Group. / Reducing TY DL,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,328,__import__.pci_60,Fitting Group. / Reducing Tee,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,329,__import__.pci_61,Fitting Group. / Reducing Tee (DL),Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,330,__import__.pci_62,Fitting Group. / Reducing Y DL,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,332,__import__.pci_64,Fitting Group. / Saddle,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,333,__import__.pci_65,Fitting Group. / Saddle (New),Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,334,__import__.pci_66,Fitting Group. / Socket DL,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,335,__import__.pci_67,Fitting Group. / Socket Push In,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,336,__import__.pci_68,Fitting Group. / Socket Union,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,339,__import__.pci_71,Fitting Group. / TY (DL),Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,340,__import__.pci_72,Fitting Group. / Tee,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,341,__import__.pci_73,Fitting Group. / Tee DL,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,346,__import__.pci_78,Fitting Group. / Valve Elbow,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,347,__import__.pci_79,Fitting Group. / Valve Plug,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,348,__import__.pci_80,Fitting Group. / Valve Socket,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,349,__import__.pci_81,Fitting Group. / Valve Socket Pushin,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,353,__import__.pci_85,Fitting Group. / Way Tee,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,356,__import__.pci_88,Fitting Group. / Y DL,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,297,__import__.pci_29,Flange,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,298,__import__.pci_30,Floor Drain,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,300,__import__.pci_32,Foot Valve,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,3381,__export__.product_category_3381_ae350eaf,Fuel,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3397,__export__.product_category_3397_11679b0f,G20 Pipe,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,3399,__export__.product_category_3399_cb1fef6d,GOLDTAX အိမ်သုတ်ဆေး,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3395,__export__.product_category_3395_f57c809b,Gold Lex Window Profile,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,3598,__export__.product_category_3598_30c0fe99,Gold Series (Polishing),Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3391,__export__.product_category_3391_556adfc2,Gold Tax Pipe,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,3639,product.product_category_goods,Goods,,Perpetual (at invoicing),Perpetual (at invoicing),excluded-preserved
1,301,__import__.pci_33,Gutter Fitting,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
