Company ID,Category ID,Category,Source valuation,Before,After
1,3573,001-Raw Recycle,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3580,Raw,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3582,Pallet,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3583,Popular Group / MOANA  Brush,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3586,Sticker,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3587,Septic Tank,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3588,Septic Tank - Accessories,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3589,File Clip Frame,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3590,Mango Ware (Polishing),Manual,Perpetual (at invoicing),Periodic (at closing)
1,3591,Design Paper- Gold Series,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3592,Design Paper-Melamine,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3593,Black Series (Polishing),Manual,Perpetual (at invoicing),Periodic (at closing)
1,3594,Marble Series (Polishing),Manual,Perpetual (at invoicing),Periodic (at closing)
1,3595,Design Paper-Urea,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3596,Lion Ware (Polishing),Manual,Perpetual (at invoicing),Periodic (at closing)
1,3597,Design Paper-Lion,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3598,Gold Series (Polishing),Manual,Perpetual (at invoicing),Periodic (at closing)
1,3599,Reject,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3600,Damage PVC E-Pipe,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3601,Damage SOGO Window Profile,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3602,Damage Mango Window Profile,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3603,Damage Gold Lex Window Profile,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3604,FG-Damage,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3612,ငှက်သိုက်ခွက်,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3613,Popular Group / MOANA ဇကာ,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3614,Ball Valve Accessory,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3615,Production,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3616,001-Sticker/King,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3617,001-Sticker/SOGO,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3618,001-Sticker/Yamaha,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3619,001-Accessories,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3620,001-Accessories/Aluminium Coil,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3621,001-Accessories/Heater Coil,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3622,001-Filter,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3623,PVC Ball Valve Blue စွပ် ဆက်စပ်ပစ္စည်း,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3624,PVC Ball Valve Green စွပ် ဆက်စပ်ပစ္စည်း,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3625,PVC Ball Valve Red စွပ် ဆက်စပ်ပစ္စည်း,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3626,Accessory For Machinery(Hose),Manual,Perpetual (at invoicing),Periodic (at closing)
1,3627,Packing(Hose),Manual,Perpetual (at invoicing),Periodic (at closing)
